player,position,year_signed,team,team_norm,prior_year_team,signing_type,is_trade_acquisition,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,draft_year,draft_team,gsis_id
Cameron Sutton,CB,2023,Lions,DET,PIT,FA signing,False,3.0,33.0,11.0,21.0,0.049,44.215302,14.738434,28.137011,2017.0,Steelers,00-0033930
"Chauncey Gardner-Johnson, Jr.",S,2023,Lions,DET,PHI,FA signing,False,1.0,6.5,6.5,6.5,0.028999999999999998,8.709075,8.709075,8.709075,2019.0,Saints,00-0035253
Alex Anzalone,LB,2023,Lions,DET,DET,re-signing,False,3.0,18.75,6.25,9.0,0.027999999999999997,25.122331,8.37411,12.058719,2017.0,Saints,00-0033914
Emmanuel Moseley,CB,2023,Lions,DET,SF,FA signing,False,1.0,6.0,6.0,2.0,0.027000000000000003,8.039146,8.039146,2.679715,2018.0,49ers,00-0034096
David Montgomery,RB,2023,Lions,DET,CHI,FA signing,False,3.0,18.0,6.0,8.75,0.027000000000000003,24.117438,8.039146,11.723754,2019.0,Bears,00-0035685
Kalif Raymond,WR,2023,Lions,DET,DET,re-signing,False,2.0,10.5,5.25,8.15,0.023,14.068505,7.034253,10.91984,2016.0,Broncos,00-0032464
Jahmyr Gibbs,RB,2023,Lions,DET,,rookie_or_UDFA,False,4.0,17.845138,4.461285,17.845138,0.02,23.909945,5.977487,23.909945,2023.0,Lions,00-0039139
John Cominsky,IDL,2023,Lions,DET,DET,re-signing,False,2.0,8.5,4.25,4.0,0.019,11.38879,5.694395,5.359431,2019.0,Falcons,00-0035265
Jack Campbell,LB,2023,Lions,DET,,rookie_or_UDFA,False,4.0,14.722018,3.680505,14.722018,0.016,19.725408,4.931353,19.725408,2023.0,Lions,00-0039018
Halapoulivaati Vaitai,RG,2023,Lions,DET,DET,re-signing,False,1.0,3.5,3.5,3.0,0.016,4.689502,4.689502,4.019573,2016.0,Eagles,00-0032785
Charles Harris,ED,2023,Lions,DET,DET,re-signing,False,1.0,3.5,3.5,3.0,0.016,4.689502,4.689502,4.019573,2017.0,Dolphins,00-0033880
Teddy Bridgewater,QB,2023,Lions,DET,MIA,FA signing,False,1.0,3.0,3.0,2.55,0.013000000000000001,4.019573,4.019573,3.416637,2014.0,Vikings,00-0031237
Marvin Jones,WR,2023,Lions,DET,JAX,FA signing,False,1.0,3.0,3.0,3.0,0.013000000000000001,4.019573,4.019573,4.019573,2012.0,Bengals,00-0029293
Graham Glasgow,RG,2023,Lions,DET,DEN,FA signing,False,1.0,2.75,2.75,2.5,0.012,3.684609,3.684609,3.349644,2016.0,Lions,00-0032395
Will Harris,S,2023,Lions,DET,DET,re-signing,False,1.0,2.5825,2.5825,2.5825,0.011000000000000001,3.460182,3.460182,3.460182,2019.0,Lions,00-0035655
Romeo Okwara,ED,2023,Lions,DET,DET,re-signing,False,1.0,2.5,2.5,2.0,0.011000000000000001,3.349644,3.349644,2.679715,2016.0,Giants,00-0032655
Sam LaPorta,TE,2023,Lions,DET,,rookie_or_UDFA,False,4.0,9.465998,2.3665,7.825179,0.011000000000000001,12.68309,3.170773,10.484626,2023.0,Lions,00-0039065
C.J. Moore,S,2023,Lions,DET,DET,re-signing,False,2.0,4.5,2.25,3.0,0.01,6.029359,3.01468,4.019573,2019.0,Lions,00-0035327
